"Wavelength (nm)","Spectral Radiance (uW/cm2-sr-nm)","Expanded Spectral Radiance Uncertainty k=2 (uW/cm2-sr-nm)","Expanded Spectral Radiance Uncertainty k=2 %","Spectral Radiance (W/m2-sr-nm)","Expanded Spectral Radiance Uncertainty k=2 (W/m2-sr-nm)"
581,40.58671098288,0.4672557609266,1.15125308163969,0.4058671098288,0.004672557609266
582,40.81271548203,0.4699263605139,1.15142145030955,0.4081271548203,0.004699263605139
583,41.04055986785,0.4722530511919,1.15069836452658,0.4104055986785,0.004722530511919
584,41.26428421161,0.4746233174983,1.15020368477581,0.4126428421161,0.004746233174983
585,41.4885736192,0.4772485508103,1.15031322886801,0.414885736192,0.004772485508103
586,41.71791981578,0.4801120149185,1.15085319938914,0.4171791981578,0.004801120149185
587,41.93804532658,0.4888246877089,1.16558767558746,0.4193804532658,0.004888246877089
588,42.1531182785,0.4911942084204,1.16526185601536,0.421531182785,0.004911942084204
589,42.3658870241,0.4932513812687,1.16426544070259,0.423658870241,0.004932513812687
590,42.58100716404,0.4951271153426,1.16278864291575,0.4258100716404,0.004951271153426
591,42.7979331143,0.4977938838185,1.16312599136282,0.427979331143,0.004977938838185
592,43.01578549494,0.5002780247384,1.16301032047235,0.4301578549494,0.005002780247384
593,43.23248872925,0.502134581779,1.16147507705072,0.4323248872925,0.00502134581779
594,43.44963708897,0.5046003156252,1.1613452940745,0.4344963708897,0.005046003156252
595,43.6676341519,0.5068319446508,1.16065812699575,0.436676341519,0.005068319446508
596,43.88559725137,0.5088553584764,1.15950423452541,0.4388559725137,0.005088553584764
597,44.10205173277,0.5109402040198,1.15854066635214,0.4410205173277,0.005109402040198
598,44.31757319047,0.5136226388958,1.15895930647721,0.4431757319047,0.005136226388958
599,44.53232614436,0.5160279891844,1.15877169207734,0.4453232614436,0.005160279891844
600,44.7534301498,0.5182789508021,1.15807648501422,0.447534301498,0.005182789508021
601,44.98327010422,0.5206992825483,1.15753986169061,0.4498327010422,0.005206992825483
602,45.22181026703,0.5233255432733,1.15724147304833,0.4522181026703,0.005233255432733
603,45.45719180995,0.5259973037286,1.15712670049597,0.4545719180995,0.005259973037286
604,45.68547770485,0.5278351484359,1.15536747113813,0.4568547770485,0.005278351484359
605,45.90298976822,0.5296325738338,1.15380844800763,0.4590298976822,0.005296325738338
606,46.1183034131,0.5319223075591,1.15338654762397,0.461183034131,0.005319223075591
607,46.33201227968,0.5337537015383,1.15201925251235,0.4633201227968,0.005337537015383
608,46.54485409786,0.5357096233857,1.15095349157047,0.4654485409786,0.005357096233857
609,46.75570595622,0.5380825655582,1.15083828712166,0.4675570595622,0.005380825655582
610,46.96803230088,0.5403944411382,1.15055797457386,0.4696803230088,0.005403944411382
611,47.18397274568,0.5425550968901,1.14987158841934,0.4718397274568,0.005425550968901
612,47.39793323146,0.5446316935131,1.14906211385522,0.4739793323146,0.005446316935131
613,47.6154143875,0.5466102476491,1.14796910765224,0.476154143875,0.005466102476491
614,47.83768594045,0.5485949543692,1.14678405442126,0.4783768594045,0.005485949543692
615,48.05451119264,0.5507628258645,1.14612096178986,0.4805451119264,0.005507628258645
616,48.26224248729,0.5529015324272,1.14561923344695,0.4826224248729,0.005529015324272
617,48.46226336587,0.5547168741016,1.14463674532433,0.4846226336587,0.005547168741016
618,48.66351051797,0.5564281378633,1.14341964223446,0.4866351051797,0.005564281378633
619,48.86712825615,0.5582051689902,1.14229173865962,0.4886712825615,0.005582051689902
620,49.07460994338,0.5607562371385,1.14266060960133,0.4907460994338,0.005607562371385
621,49.28534755691,0.5634699805582,1.14328093133067,0.4928534755691,0.005634699805582
622,49.49431908436,0.5654814395686,1.14251786877757,0.4949431908436,0.005654814395686
623,49.7037579377,0.5674254911381,1.14161486913993,0.497037579377,0.005674254911381
624,49.92192217663,0.5692233242778,1.14022717767921,0.4992192217663,0.005692233242778
